symbol,socialScore,governanceScore,environmentScore,totalEsg,esgPerformance,percentile,peerGroup,highestControversy
URI,6.52,6.05,4.52,17.08,LAG_PERF,12.64,Traders & Distributors,1
UNH,15.39,5.87,0.03,21.29,,25.47,Healthcare,3
UHS,22.18,9.86,3.33,35.37,LEAD_PERF,74.84,Healthcare,3
UNM,7.42,12.29,2.67,22.38,,29.23,Insurance,1
VLO,6.87,5.41,15.97,28.25,,50.63,Refiners & Pipelines,3
VAR,12.82,10.43,3.73,26.98,,46.27,Healthcare,1
VTR,4.03,4.77,3.4,12.2,LAG_PERF,3.35,Real Estate,0
VRSN,12.87,6.19,3.04,22.1,,28.22,Software & Services,0
VRSK,14.68,6.46,0.11,21.24,,25.33,Commercial Services,1
VZ,10.2,6.18,1.71,18.09,LAG_PERF,15.47,Telecommunication Services,3
VRTX,17.22,7.46,0.15,24.84,,38.14,Pharmaceuticals,2
VFC,5.75,4.67,0.87,11.29,LAG_PERF,2.49,Textiles & Apparel,2
V,9.83,7.43,0.11,17.36,LAG_PERF,13.3,Software & Services,3
VNO,4.68,6.47,2.45,13.59,LAG_PERF,5.29,Real Estate,1
VMC,5.17,8.52,15.22,28.91,,53.21,Construction Materials,2
WRB,7.59,14.34,2.04,23.97,,34.96,Insurance,1
WBA,10.92,4.65,1.92,17.49,LAG_PERF,13.7,Food Retailers,3
WMT,17.2,6.91,3.4,27.51,,47.99,Food Retailers,4
WM,3.61,3.58,7.69,14.89,LAG_PERF,7.84,Commercial Services,2
WAT,10.67,5.88,1.48,18.03,LAG_PERF,15.31,Pharmaceuticals,0
WEC,9.24,5.22,17.85,32.32,LEAD_PERF,65.44,Utilities,1
WFC,14.74,15.25,1.25,31.25,LEAD_PERF,61.74,Banks,5
WELL,3.0,5.12,3.51,11.63,LAG_PERF,2.81,Real Estate,1
WDC,4.24,5.6,2.24,12.09,LAG_PERF,3.27,Technology Hardware,1
WU,9.74,6.56,0.11,16.41,LAG_PERF,11.0,Software & Services,3
WAB,14.08,8.02,10.41,32.51,LEAD_PERF,66.02,Machinery,1
WY,3.44,4.18,9.27,16.89,LAG_PERF,12.15,Paper & Forestry,3
WHR,6.78,4.61,6.74,18.12,LAG_PERF,15.55,Consumer Durables,2
WMB,8.52,3.23,9.02,20.77,,23.75,Refiners & Pipelines,2
WLTW,10.21,10.44,0.13,20.78,,23.78,Insurance,2
WYNN,11.69,11.54,3.53,26.75,,45.47,Consumer Services,3
XEL,8.73,4.27,16.26,29.26,,54.41,Utilities,1
XLNX,5.88,7.72,9.09,22.68,,30.24,Semiconductors,0
XYL,7.78,5.11,3.53,16.42,LAG_PERF,11.03,Machinery,2
YUM,12.9,4.42,3.99,21.31,,25.52,Consumer Services,3
ZBH,18.9,10.46,4.79,34.16,LEAD_PERF,71.44,Healthcare,2
ZTS,10.33,11.45,2.34,24.11,,35.44,Pharmaceuticals,1
